order_id,order_date,product,region,quantity,unit_price
8001,2024-01-03,Webcam,West,2,90
8002,2024-01-03,Headphones,North,1,150
8003,2024-01-03,Keyboard,East,3,80
8004,2024-01-03,Webcam,North,4,90
8005,2024-01-03,Phone,Central,2,800
8006,2024-01-03,Printer,North,4,250
8007,2024-01-03,Laptop,West,3,1200
8008,2024-01-03,Keyboard,South,4,80
8009,2024-01-03,Laptop,South,2,1200
8010,2024-01-03,Keyboard,East,2,80
8011,2024-01-03,Headphones,East,2,150
8012,2024-01-03,Phone,West,1,800
8013,2024-01-03,Headphones,East,2,150
8014,2024-01-03,Monitor,Central,3,300
8015,2024-01-03,Phone,South,1,800
8016,2024-01-03,Speaker,East,3,120
8017,2024-01-03,Tablet,West,2,600
8018,2024-01-03,Webcam,Central,1,90
8019,2024-01-03,Monitor,South,4,300
8020,2024-01-03,Mouse,East,1,40
8021,2024-01-03,Monitor,South,4,300
8022,2024-01-03,Webcam,North,4,90
8023,2024-01-03,Speaker,East,5,120
8024,2024-01-03,Laptop,South,3,1200
8025,2024-01-03,Mouse,East,5,40
8026,2024-01-03,Printer,East,1,250
8027,2024-01-03,Webcam,North,2,90
8028,2024-01-03,Phone,North,5,800
8029,2024-01-03,Phone,East,5,800
8030,2024-01-03,Speaker,North,2,120
8031,2024-01-03,Webcam,Central,4,90
8032,2024-01-03,Keyboard,Central,5,80
8033,2024-01-03,Webcam,East,4,90
8034,2024-01-03,Printer,West,5,250
8035,2024-01-03,Webcam,South,2,90
8036,2024-01-03,Tablet,West,1,600
8037,2024-01-03,Laptop,Central,5,1200
8038,2024-01-03,Keyboard,East,4,80
8039,2024-01-03,Keyboard,North,5,80
8040,2024-01-03,Monitor,West,5,300
8041,2024-01-03,Phone,Central,1,800
8042,2024-01-03,Speaker,North,4,120
8043,2024-01-03,Keyboard,Central,5,80
8044,2024-01-03,Headphones,North,4,150
8045,2024-01-03,Keyboard,North,1,80
8046,2024-01-03,Webcam,Central,5,90
8047,2024-01-03,Monitor,West,5,300
8048,2024-01-03,Headphones,South,3,150
8049,2024-01-03,Monitor,East,5,300
8050,2024-01-03,Keyboard,Central,4,80
8051,2024-01-03,Keyboard,West,1,80
8052,2024-01-03,Printer,South,1,250
8053,2024-01-03,Monitor,Central,5,300
8054,2024-01-03,Webcam,East,3,90
8055,2024-01-03,Webcam,South,2,90
8056,2024-01-03,Laptop,South,1,1200
8057,2024-01-03,Headphones,South,4,150
8058,2024-01-03,Headphones,North,3,150
8059,2024-01-03,Mouse,North,2,40
8060,2024-01-03,Monitor,North,1,300
8061,2024-01-03,Laptop,North,5,1200
8062,2024-01-03,Printer,West,2,250
8063,2024-01-03,Keyboard,West,4,80
8064,2024-01-03,Monitor,Central,1,300
